oa11cd,x,y,lat,lon
E00041843,416055.374,563524.941,54.966087,-1.7507673
E00041933,420129.889,560994.7,54.943205,-1.6873126
E00041656,427633.117,561609.578,54.948374,-1.5701178
E00041706,426408.85,558205.497,54.917852,-1.5895536
E00041787,429707.734,561570.696,54.947905,-1.5377432
E00041840,414710.309,563096.801,54.962282,-1.7717965
E00041930,420075.363,561193.36,54.944996,-1.6881417
E00041657,427869.35,561868.808,54.950688,-1.5664084
E00041707,427901.124,558174.108,54.917492,-1.566266
E00041786,429239.356,562377.563,54.955184,-1.5449675
E00041841,416076.086,563727.67,54.96791,-1.750428
E00041931,419887.147,561004.332,54.943305,-1.6910895
E00041654,427472.729,561795.322,54.950054,-1.5726136
E00041704,426902.042,557025.746,54.907222,-1.5819571
E00041655,427631.376,561641.181,54.948662,-1.570146
E00041705,424794.168,556718.436,54.904572,-1.6148596
E00041784,428629.295,561346.204,54.945955,-1.5545947
E00041652,428329.532,562022.768,54.952046,-1.5592115
E00041702,427409.992,556214.64,54.899907,-1.5741269
E00041783,426025.717,560067.017,54.934604,-1.5953607
E00041653,428398.562,561875.577,54.950722,-1.5581487
E00041703,427185.525,558258.093,54.918286,-1.5774275
E00041782,425982.245,560171.365,54.935541,-1.5960224
E00041650,427337.664,561850.77,54.950556,-1.5747161
E00041700,427107.612,556355.514,54.90119,-1.5788228
E00041781,425640.127,560087.267,54.934803,-1.6013674
E00041651,427615.874,562218.09,54.953848,-1.5703405
E00041701,427600.409,556213.516,54.899887,-1.5711487
E00041780,425638.403,560286.177,54.936592,-1.6013809
E00041848,425677.26,562148.903,54.953322,-1.6006065
E00041938,420932.077,560356.567,54.937439,-1.674824
E00041849,425511.644,562108.489,54.952971,-1.6032019
E00041658,427833.431,561737.123,54.949513,-1.5669831
E00041708,423854.909,557926.262,54.915473,-1.6294191
E00041789,429137.058,561698.409,54.949089,-1.5466288
E00041659,428338.376,561619.633,54.948425,-1.5591106
E00041709,427142.893,557097.614,54.907856,-1.5782073
E00041788,429399.257,561626.287,54.948426,-1.5425458
E00165672,423327.054,562140.514,54.953365,-1.6372995
E00041397,424995.283,562452.314,54.956088,-1.6112287
E00041577,427010.5,561300.789,54.945631,-1.5798729
E00041395,425427.408,562407.585,54.955662,-1.6044871
E00041574,426581.088,561669.973,54.94897,-1.5865359
E00041394,425058.078,562792.397,54.95914,-1.6102154
E00041575,426552.551,561372.827,54.946303,-1.587016
E00041393,424864.286,562055.268,54.952527,-1.6133085
E00041572,426339.531,561847.909,54.950582,-1.5902977
E00041573,426160.728,561819.717,54.95034,-1.5930949
E00041570,413960.782,563383.673,54.964882,-1.7834958
E00041390,427045.579,562177.131,54.95351,-1.5792443
E00041571,426063.246,561851.851,54.950633,-1.5946065
E00041946,419445.851,557812.502,54.914638,-1.6982037
E00041399,424799.128,562311.643,54.954831,-1.6143014
E00041578,425835.648,561415.879,54.946727,-1.5982052
E00041947,419634.765,560290.044,54.936899,-1.6950873
E00041579,426776.356,561398.192,54.946525,-1.5835167
E00041944,420489.245,561909.389,54.951413,-1.6816281
E00041945,420628.092,558667.944,54.922274,-1.6796893
E00041942,420605.557,562108.9,54.953196,-1.6798027
E00041943,421069.671,561912.071,54.951416,-1.6725723
E00041756,426347.276,560100.812,54.934883,-1.5903324
E00041666,427319.351,560205.876,54.935775,-1.5751529
E00041406,424719.18,561881.467,54.950971,-1.6155874
E00041487,416596.974,559380.99,54.928831,-1.7425553
E00041940,420839.632,561997.764,54.952189,-1.6761571
E00041757,425614.789,559953.317,54.933601,-1.601785
E00041667,426958.894,560076.637,54.934635,-1.580799
E00041407,425006.79,561976.359,54.95181,-1.6110982
E00041486,416751.183,559276.293,54.927891,-1.7401426
E00041941,420410.028,562092.126,54.953061,-1.6828486
