lat,lng
54.950828,-1.7298463
54.951725,-1.5723148
54.975772,-1.7631744
54.943396,-1.6742765
54.951144,-1.734372
54.947759,-1.5663775
54.945448,-1.5661213
54.954083,-1.6399944
54.947376,-1.5624786
54.954547,-1.6450962
54.955359,-1.6402797
54.973493,-1.7514713
54.948194,-1.6676806
54.942637,-1.7156336
54.971229,-1.7608736
54.948429,-1.6713944
54.943837,-1.7139236
54.957454,-1.6404952
54.954159,-1.5447137
54.950282,-1.536623
54.928769,-1.5866805
54.952088,-1.5388819
54.950076,-1.5611222
54.906636,-1.576099
54.947226,-1.5732056
54.957744,-1.6236274
54.953915,-1.6060657
54.956415,-1.6151919
54.960896,-1.5976423
54.960639,-1.5988005
54.961798,-1.5958685
54.951566,-1.5862907
54.961054,-1.5965631
54.951821,-1.5924242
54.95983,-1.5930303
54.934338,-1.793726
54.952248,-1.7138327
54.935298,-1.7827649
54.963625,-1.7178126
54.952876,-1.7882913
54.956745,-1.7157839
54.951013,-1.7919545
54.954308,-1.710945
54.953818,-1.782025
54.956294,-1.7111337
54.952793,-1.7869021
54.955598,-1.7132155
54.952858,-1.793444
54.955891,-1.6970673
54.95538,-1.7717731
54.9567,-1.7193289
54.947168,-1.617981
54.94614,-1.6656836
54.933175,-1.7863034
54.964059,-1.7152013
54.945129,-1.6300833
54.947638,-1.674773
54.929787,-1.7811092
54.961639,-1.7103926
54.94913,-1.6159796
54.947307,-1.6819103
54.948712,-1.6088799
54.944783,-1.6789797
54.949275,-1.6135895
54.946827,-1.6874718
54.948761,-1.6048046
54.946818,-1.6671923
54.957784,-1.5730938
54.937237,-1.5717661
54.949819,-1.6068551
54.948298,-1.6829017
54.955587,-1.5742257
54.93469,-1.5557492
54.94895,-1.6074569
54.948478,-1.6796373
54.94615,-1.561243
54.937967,-1.5647659
54.957326,-1.5809065
54.936722,-1.5608461
54.946822,-1.5758483
54.936894,-1.5587528
54.948041,-1.5648445
54.93774,-1.5667662
54.946152,-1.5719368
54.942221,-1.5558847
54.946122,-1.5685651
